,id,name,age,nationality,overall,potential,club,value,wage,preferred_foot,international_reputation,skill_moves,position,joined,contract_valid_until,height,weight,release_clause
0,158023,L. Messi,31,Argentina,94,94,FC Barcelona,110500,565,Left,5,4,RF,2004,2021-01-01,170.18,72.186,226500
1,20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,77000,405,Right,5,5,ST,2018,2022-01-01,187.96,83.082,127100
2,190871,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,118500,290,Right,5,5,LW,2017,2022-01-01,175.26,68.1,228100
3,193080,De Gea,27,Spain,91,93,Manchester United,72000,260,Right,4,1,GK,2011,2020-01-01,193.04,76.272,138600
4,155862,Sergio Ramos,32,Spain,91,91,Real Madrid,51000,380,Right,4,3,RCB,2005,2020-01-01,182.88,82.174,104600
5,188545,R. Lewandowski,29,Poland,90,90,FC Bayern München,77000,205,Right,4,4,ST,2014,2021-01-01,182.88,79.904,127100
6,182521,T. Kroos,28,Germany,90,90,Real Madrid,76500,355,Right,4,3,LCM,2014,2022-01-01,182.88,76.272,156800
7,168542,David Silva,32,Spain,90,90,Manchester City,60000,285,Left,4,4,LCM,2010,2020-01-01,172.72,67.192,111000
8,215914,N. Kanté,27,France,89,90,Chelsea,63000,225,Right,3,2,LDM,2016,2023-01-01,167.64,72.186,121300
9,211110,P. Dybala,24,Argentina,89,94,Juventus,89000,205,Left,3,4,LF,2015,2022-01-01,177.8,74.91,153500
10,202126,H. Kane,24,England,89,91,Tottenham Hotspur,83500,205,Right,3,3,ST,2010,2024-01-01,187.96,88.984,160700
11,194765,A. Griezmann,27,France,89,90,Atlético Madrid,78000,145,Left,4,4,CAM,2014,2023-01-01,175.26,73.094,165800
12,192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,58000,240,Right,3,1,GK,2014,2022-01-01,187.96,84.898,123300
13,189511,Sergio Busquets,29,Spain,89,89,FC Barcelona,51500,315,Right,4,3,CDM,2008,2023-01-01,187.96,76.272,105600
14,167495,M. Neuer,32,Germany,89,89,FC Bayern München,38000,130,Right,5,1,GK,2011,2021-01-01,193.04,92.162,62700
15,153079,S. Agüero,30,Argentina,89,89,Manchester City,64500,300,Right,4,4,ST,2011,2021-01-01,172.72,69.916,119300
16,138956,G. Chiellini,33,Italy,89,89,Juventus,27000,215,Left,4,2,LCB,2005,2020-01-01,187.96,84.898,44600
17,231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,81000,100,Right,3,5,RM,2018,2022-01-01,177.8,73.094,166100
18,200145,Casemiro,26,Brazil,88,90,Real Madrid,59500,285,Right,3,2,CDM,2013,2021-01-01,185.42,83.99,126400
19,198710,J. Rodríguez,26,Colombia,88,89,FC Bayern München,69500,315,Left,4,4,LAM,2016,2019-06-30,180.34,78.088,4585.060806
20,198219,L. Insigne,27,Italy,88,88,Napoli,62000,165,Right,3,4,LW,2010,2022-01-01,162.56,59.02,105400
21,197781,Isco,26,Spain,88,91,Real Madrid,73500,315,Right,3,4,LW,2013,2022-01-01,175.26,78.996,156200
22,190460,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,73500,205,Right,3,4,CAM,2013,2020-01-01,180.34,76.272,141500
23,189242,Coutinho,26,Brazil,88,89,FC Barcelona,69500,340,Right,3,5,LW,2018,2023-01-01,172.72,68.1,147700
24,178603,M. Hummels,29,Germany,88,88,FC Bayern München,46000,160,Right,4,3,LCB,2016,2021-01-01,190.5,92.162,75900
25,176676,Marcelo,30,Brazil,88,88,Real Madrid,43000,285,Left,4,5,LB,2007,2022-01-01,175.26,79.904,88200
26,167948,H. Lloris,31,France,88,88,Tottenham Hotspur,36000,150,Left,4,1,GK,2012,2022-01-01,187.96,82.174,66600
27,167664,G. Higuaín,30,Argentina,88,88,Milan,57000,245,Right,4,3,LS,2016,2019-06-30,185.42,88.984,4585.060806
28,164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,24000,165,Right,4,2,RCB,2012,2020-01-01,182.88,82.174,44400
29,1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,4000,77,Right,4,1,GK,2018,2019-01-01,193.04,92.162,7400
30,205600,S. Umtiti,24,France,87,92,FC Barcelona,57000,205,Left,3,2,CB,2016,2023-01-01,182.88,74.91,121100
31,201399,M. Icardi,25,Argentina,87,90,Inter,64500,130,Right,3,3,ST,2013,2021-01-01,180.34,74.91,114500
32,195864,P. Pogba,25,France,87,91,Manchester United,64000,210,Right,4,5,RDM,2016,2021-01-01,193.04,83.99,123200
33,192387,C. Immobile,28,Italy,87,87,Lazio,52000,115,Right,3,3,ST,2016,2023-01-01,185.42,84.898,88400
34,189332,Jordi Alba,29,Spain,87,87,FC Barcelona,38000,250,Left,3,3,LB,2012,2020-01-01,170.18,68.1,77900
35,152729,Piqué,31,Spain,87,87,FC Barcelona,34000,240,Right,4,2,RCB,2008,2022-01-01,193.04,84.898,69700
36,222492,L. Sané,22,Germany,86,92,Manchester City,61000,195,Left,2,4,LW,2016,2021-01-01,182.88,74.91,125100
37,218667,Bernardo Silva,23,Portugal,86,91,Manchester City,59500,180,Left,2,4,RW,2017,2022-01-01,172.72,64.014,114500
38,210257,Ederson,24,Brazil,86,90,Manchester City,41500,125,Left,2,1,GK,2017,2025-01-01,187.96,86.26,79900
39,203376,V. van Dijk,26,Netherlands,86,88,Liverpool,44500,165,Right,3,2,LCB,2018,2023-01-01,193.04,92.162,87900
40,202652,R. Sterling,23,England,86,89,Manchester City,56500,195,Right,3,4,RW,2015,2023-01-01,170.18,69.008,108800
41,201942,Roberto Firmino,26,Brazil,86,87,Liverpool,53000,195,Right,3,4,CAM,2015,2023-01-01,180.34,76.272,104700
42,201535,R. Varane,25,France,86,91,Real Madrid,50000,210,Right,3,2,RCB,2011,2022-01-01,190.5,81.266,106300
43,199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,55000,135,Right,3,4,LCM,2012,2021-01-01,165.1,59.928,105900
44,191043,Alex Sandro,27,Brazil,86,86,Juventus,36500,160,Left,3,3,LB,2015,2020-01-01,180.34,79.904,60200
45,190483,Douglas Costa,27,Brazil,86,86,Juventus,46500,175,Left,3,5,LM,2018,2022-01-01,172.72,69.916,76700
46,189596,T. Müller,28,Germany,86,86,FC Bayern München,45000,135,Right,4,3,CAM,2008,2021-01-01,185.42,74.91,74300
47,189509,Thiago,27,Spain,86,86,FC Bayern München,45500,130,Right,3,5,CM,2013,2021-01-01,175.26,69.916,75100
48,188350,M. Reus,29,Germany,86,86,Borussia Dortmund,43500,100,Right,4,4,LM,2012,2023-01-01,180.34,71.278,74000
49,184432,Azpilicueta,28,Spain,86,86,Chelsea,35000,175,Right,3,2,RB,2012,2022-01-01,177.8,76.272,64800
50,184344,L. Bonucci,31,Italy,86,86,Juventus,30000,160,Right,3,2,RCB,2018,2023-01-01,190.5,84.898,49500
51,176635,M. Özil,29,Germany,86,86,Arsenal,43500,190,Left,4,4,CAM,2013,2021-01-01,180.34,76.272,82700
52,135507,Fernandinho,33,Brazil,86,86,Manchester City,18000,185,Right,3,3,CDM,2013,2020-01-01,177.8,67.192,33300
53,41,Iniesta,34,Spain,86,86,Vissel Kobe,21500,21,Right,4,4,LF,2018,2021-01-01,170.18,68.1,26900
54,220834,Marco Asensio,22,Spain,85,92,Real Madrid,54000,215,Left,3,4,RW,2015,2023-01-01,182.88,76.272,121500
55,216594,N. Fekir,24,France,85,89,Olympique Lyonnais,50000,92,Left,3,4,CAM,2013,2020-01-01,172.72,74.91,98800
56,212831,Alisson,25,Brazil,85,90,Liverpool,36500,115,Right,3,1,GK,2018,2024-01-01,190.5,91.254,72100
57,212622,J. Kimmich,23,Germany,85,88,FC Bayern München,40500,92,Right,3,3,RCM,2015,2023-01-01,175.26,69.916,69900
58,208421,Saúl,23,Spain,85,90,Atlético Madrid,50500,77,Left,3,3,RCM,2013,2026-01-01,182.88,77.18,107300
59,197445,D. Alaba,26,Austria,85,87,FC Bayern München,38000,110,Left,4,3,LB,2010,2021-01-01,180.34,76.272,65600
60,193747,Koke,26,Spain,85,86,Atlético Madrid,45000,88,Right,3,3,LM,2011,2019-01-01,175.26,74.002,95600
61,193301,A. Lacazette,27,France,85,86,Arsenal,45000,180,Right,3,4,ST,2017,2022-01-01,175.26,73.094,88900
62,192366,N. Otamendi,30,Argentina,85,85,Manchester City,28500,170,Right,3,2,CB,2015,2022-01-01,182.88,81.266,52700
63,189513,Parejo,29,Spain,85,85,Valencia CF,37000,66,Right,2,3,RCM,2011,2020-01-01,182.88,74.002,77700
64,187961,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,37000,235,Right,3,3,LDM,2016,2019-06-30,182.88,71.278,4585.060806
65,186153,W. Szczęsny,28,Poland,85,87,Juventus,32000,125,Right,3,1,GK,2017,2021-01-01,195.58,89.892,55200
66,184941,A. Sánchez,29,Chile,85,85,Manchester United,37500,215,Right,4,4,RW,2018,2022-01-01,170.18,74.002,69400
67,183907,J. Boateng,29,Germany,85,85,FC Bayern München,30000,115,Right,4,2,RCB,2011,2021-01-01,193.04,89.892,49500
68,181872,A. Vidal,31,Chile,85,85,FC Barcelona,26000,205,Right,4,3,CAM,2018,2021-01-01,180.34,74.91,53300
69,179846,S. Khedira,31,Germany,85,85,Juventus,33000,160,Right,3,2,RCM,2015,2021-01-01,187.96,89.892,54500
70,179844,Diego Costa,29,Spain,85,85,Atlético Madrid,38500,100,Right,4,2,LS,2018,2021-01-01,187.96,86.26,78900
71,171919,Naldo,35,Brazil,85,85,FC Schalke 04,9000,38,Right,3,2,CB,2016,2020-01-01,198.12,91.254,15300
72,170890,B. Matuidi,31,France,85,85,Juventus,26000,145,Left,3,2,LM,2017,2020-01-01,180.34,74.91,42900
73,168609,Miranda,33,Brazil,85,85,Inter,15500,96,Right,3,2,CB,2017,2020-01-01,185.42,78.088,26400
74,165153,K. Benzema,30,France,85,85,Real Madrid,37000,240,Right,4,4,ST,2009,2021-01-01,185.42,81.266,75900
75,164169,Filipe Luís,32,Brazil,85,85,Atlético Madrid,21500,81,Left,3,3,LB,2015,2019-01-01,182.88,74.002,44100
76,120533,Pepe,35,Portugal,85,85,Beşiktaş JK,9000,57,Right,4,2,RCB,2017,2019-01-01,187.96,81.266,17100
77,41236,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,14000,15,Right,5,5,RS,2018,2022-01-01,195.58,94.886,21000
78,220793,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,34000,105,Right,2,2,RCB,2017,2024-01-01,187.96,78.996,65500
79,212462,Alex Telles,25,Brazil,84,87,FC Porto,32000,22,Left,3,3,LB,2016,2021-01-01,180.34,71.278,66400
80,212218,A. Laporte,24,France,84,88,Manchester City,34000,135,Left,2,2,LCB,2018,2023-01-01,187.96,84.898,65500
81,212198,Bruno Fernandes,23,Portugal,84,88,Sporting CP,40500,22,Right,2,4,LCM,2017,2023-01-01,177.8,69.008,84000
82,212190,N. Süle,22,Germany,84,90,FC Bayern München,36500,84,Right,2,2,CB,2017,2022-01-01,195.58,97.156,67500
83,211300,A. Martial,22,France,84,90,Manchester United,42500,165,Right,3,4,LW,2015,2019-01-01,182.88,76.272,87100
84,211117,D. Alli,22,England,84,90,Tottenham Hotspur,42500,115,Right,3,4,LCM,2015,2024-01-01,187.96,79.904,87100
85,209499,Fabinho,24,Brazil,84,88,Liverpool,34000,120,Right,3,3,CDM,2018,2023-01-01,187.96,78.088,67200
86,207865,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,35500,90,Right,3,2,LDM,2013,2022-01-01,182.88,74.91,68300
87,207566,William Carvalho,26,Portugal,84,86,Real Betis,31500,38,Right,3,3,CDM,2018,2023-01-01,187.96,83.082,68500
88,205498,Jorginho,26,Italy,84,87,Chelsea,38000,155,Right,2,3,CM,2018,2023-01-01,180.34,67.192,73200
89,204970,F. Thauvin,25,France,84,87,Olympique de Marseille,39000,72,Left,2,4,RM,2017,2021-01-01,177.8,69.916,77000
90,204963,Carvajal,26,Spain,84,87,Real Madrid,31500,185,Right,3,3,RB,2013,2022-01-01,172.72,73.094,66900
91,202556,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,42000,93,Right,3,5,ST,2017,2021-01-01,175.26,78.088,83000
92,200104,H. Son,25,Korea Republic,84,85,Tottenham Hotspur,37000,125,Right,3,4,LM,2015,2023-01-01,182.88,64.922,71200
93,199482,A. Lopes,27,Portugal,84,86,Olympique Lyonnais,25000,72,Left,2,1,GK,2011,2020-01-01,182.88,81.266,49400
94,198176,S. de Vrij,26,Netherlands,84,86,Inter,31500,88,Right,3,2,CB,2018,2023-01-01,187.96,78.088,55900
95,198009,M. Perin,25,Italy,84,89,Juventus,29500,105,Right,2,1,GK,2018,2022-01-01,187.96,77.18,50900
96,193082,J. Cuadrado,30,Colombia,84,84,Juventus,29500,150,Right,3,5,RAM,2015,2020-01-01,177.8,72.186,48700
97,192629,Iago Aspas,30,Spain,84,84,RC Celta,30000,45,Left,2,3,ST,2015,2022-01-01,175.26,67.192,63000
98,192563,B. Leno,26,Germany,84,87,Arsenal,27000,115,Right,3,1,GK,2018,2023-01-01,190.5,83.082,53300
99,190584,Illarramendi,28,Spain,84,84,Real Sociedad,31000,51,Right,2,4,RDM,2015,2023-01-01,177.8,74.91,65100
100,188377,K. Walker,28,England,84,84,Manchester City,24500,165,Right,3,2,RB,2017,2022-01-01,182.88,69.916,45300
101,186942,I. Gündoğan,27,Germany,84,84,Manchester City,32000,175,Right,3,4,CM,2016,2020-01-01,180.34,79.904,59200
102,185020,José Callejón,31,Spain,84,84,Napoli,27500,105,Right,3,3,RM,2013,2020-01-01,177.8,73.094,46800
103,183898,A. Di María,30,Argentina,84,84,Paris Saint-Germain,29500,125,Left,4,5,RM,2015,2021-01-01,180.34,69.008,54600
104,180403,Willian,29,Brazil,84,84,Chelsea,30500,175,Right,3,4,RW,2013,2020-01-01,175.26,78.088,56400
105,178750,Sergio Asenjo,29,Spain,84,85,Villarreal CF,24000,42,Right,2,1,GK,2014,2022-01-01,187.96,87.168,52200
106,178562,E. Banega,30,Argentina,84,84,Sevilla FC,29000,31,Right,3,4,CDM,2017,2020-01-01,175.26,71.278,60900
107,177388,D. Payet,31,France,84,84,Olympique de Marseille,27500,75,Right,3,4,CAM,2017,2021-01-01,175.26,77.18,52300
108,176769,Jonas,34,Brazil,84,84,SL Benfica,16500,25,Right,3,3,ST,2014,2020-01-01,180.34,74.002,33000
109,167628,S. Ruffier,31,France,84,84,AS Saint-Étienne,19000,41,Right,3,1,GK,2011,2021-01-01,187.96,93.07,36100
110,167397,Falcao,32,Colombia,84,84,AS Monaco,25000,115,Right,3,3,RS,2013,2020-01-01,177.8,72.186,47500
111,163587,K. Schmeichel,31,Denmark,84,84,Leicester City,19000,78,Right,2,1,GK,2011,2023-01-01,187.96,88.984,36100
112,157481,Raúl Albiol,32,Spain,84,84,Napoli,18000,88,Right,3,2,RCB,2013,2021-01-01,190.5,82.174,30600
113,143076,A. Gómez,30,Argentina,84,84,Atalanta,30000,53,Right,3,4,LS,2014,2022-01-01,165.1,68.1,51000
114,137186,A. Barzagli,37,Italy,84,84,Juventus,4200,95,Right,3,2,CB,2011,2019-01-01,187.96,87.168,6900
